,fsq_id,categories,name,rating,bikestation_id
10492,4aa758e3f964a520be4c20e3,"[{'id': 13299, 'name': 'Malay Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/malaysian_', 'suffix': '.png'}}]",Banana Leaf,7.5,07b13214cb69f2ec007d888450f3d6bc
10493,59fb62fa5f68b91e73eb36c9,"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13303, 'name': 'Mexican Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}}]",Chipotle Mexican Grill,7.0,07b13214cb69f2ec007d888450f3d6bc
10494,4ac9482df964a52086bf20e3,"[{'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",Wallflower Modern Diner,7.2,07b13214cb69f2ec007d888450f3d6bc
10495,4abedbd3f964a5204d9020e3,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Hime Japanese Restaurant,7.3,07b13214cb69f2ec007d888450f3d6bc
10496,4aa82865f964a520b34f20e3,"[{'id': 13299, 'name': 'Malay Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/malaysian_', 'suffix': '.png'}}]",Tropika Malaysian & Thai Cuisine 星馬印,6.8,07b13214cb69f2ec007d888450f3d6bc
10497,59e65ba31bc70446393a8287,"[{'id': 13272, 'name': 'Ramen Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",Marutama Gaiden,6.7,07b13214cb69f2ec007d888450f3d6bc
10498,4b4458daf964a52011f425e3,"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",Wendy's,6.4,07b13214cb69f2ec007d888450f3d6bc
10499,593c332b16fa0435e42fb0d5,"[{'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",A&W Restaurant,6.4,07b13214cb69f2ec007d888450f3d6bc
10500,4adbdddff964a520ec2a21e3,"[{'id': 13099, 'name': 'Chinese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",Café Gloucester 告羅士打餐廳,6.5,07b13214cb69f2ec007d888450f3d6bc
10501,4aa7455df964a5208e4c20e3,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}, {'id': 13347, 'name': 'Tapas Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tapas_', 'suffix': '.png'}}]",Kingyo Izakaya 金魚居酒屋,9.0,f5e8fa1fc4252bda2f93dd27ed2d603f
10502,5851f5b5297c16529dd5cf93,"[{'id': 13073, 'name': 'Australian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/australian_', 'suffix': '.png'}}, {'id': 13134, 'name': 'Comfort Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",Peaked Pies,8.6,f5e8fa1fc4252bda2f93dd27ed2d603f
